model,model_name,scaling_factor,repeat,execution_time_ms,peak_memory_mb,weak_scaling_efficiency,scaling_type
legacy_markov,Anticonvulsant Legacy Markov,1,4,288.5749340057373,194.34375,0.9056363709969918,weak
legacy_markov,Anticonvulsant Legacy Markov,2,0,305.25708198547363,190.546875,0.8561437929426614,weak
legacy_markov,Anticonvulsant Legacy Markov,2,1,467.62704849243164,214.390625,0.5588726247469881,weak
legacy_markov,Anticonvulsant Legacy Markov,2,2,674.4210720062256,204.390625,0.387508586017668,weak
legacy_markov,Anticonvulsant Legacy Markov,2,3,424.82519149780273,186.453125,0.6151799874961136,weak
legacy_markov,Anticonvulsant Legacy Markov,2,4,356.20784759521484,173.78125,0.733683880796014,weak
legacy_markov,Anticonvulsant Legacy Markov,3,0,307.9860210418701,194.828125,0.8485578504815422,weak
legacy_markov,Anticonvulsant Legacy Markov,3,1,266.4380073547363,198.109375,0.9808809133064047,weak
legacy_markov,Anticonvulsant Legacy Markov,3,2,444.195032119751,172.40625,0.5883540721887145,weak
legacy_markov,Anticonvulsant Legacy Markov,3,3,383.1510543823242,196.15625,0.6820911831104407,weak
legacy_markov,Anticonvulsant Legacy Markov,3,4,341.98880195617676,179.859375,0.7641886357060942,weak
legacy_markov,Anticonvulsant Legacy Markov,4,0,358.5031032562256,215.375,0.7289865934768975,weak
legacy_markov,Anticonvulsant Legacy Markov,4,1,268.04304122924805,202.328125,0.9750074271472461,weak
legacy_markov,Anticonvulsant Legacy Markov,4,2,271.1191177368164,228.875,0.963945140332549,weak
legacy_markov,Anticonvulsant Legacy Markov,4,3,383.73708724975586,186.203125,0.6810495119632684,weak
legacy_markov,Anticonvulsant Legacy Markov,4,4,370.29504776000977,163.34375,0.7057722148178195,weak
ctbn_stiff,Anticonvulsant CTBN Markov,1,0,175.98795890808105,184.046875,1.6621702723170317,weak
ctbn_stiff,Anticonvulsant CTBN Markov,1,1,214.65587615966797,221.0625,1.3627484083649142,weak
ctbn_stiff,Anticonvulsant CTBN Markov,1,2,160.72392463684082,210.609375,1.8200274429816428,weak
ctbn_stiff,Anticonvulsant CTBN Markov,1,3,197.5998878479004,230.9375,1.4803750992405833,weak
ctbn_stiff,Anticonvulsant CTBN Markov,1,4,145.53022384643555,202.296875,2.010042627924731,weak
ctbn_stiff,Anticonvulsant CTBN Markov,2,0,156.84819221496582,196.125,1.8650004788187313,weak
ctbn_stiff,Anticonvulsant CTBN Markov,2,1,145.3399658203125,235.953125,2.012673884514436,weak
ctbn_stiff,Anticonvulsant CTBN Markov,2,2,172.8510856628418,247.640625,1.692335066690575,weak
ctbn_stiff,Anticonvulsant CTBN Markov,2,3,162.16397285461426,256.328125,1.8038652385818148,weak
ctbn_stiff,Anticonvulsant CTBN Markov,2,4,175.4128932952881,190.78125,1.6676194553745574,weak
ctbn_stiff,Anticonvulsant CTBN Markov,3,0,180.91487884521484,225.390625,1.6169037917165252,weak
ctbn_stiff,Anticonvulsant CTBN Markov,3,1,146.78502082824707,227.0625,1.9928597068841456,weak
ctbn_stiff,Anticonvulsant CTBN Markov,3,2,291.0912036895752,191.796875,1.0049151258267297,weak
ctbn_stiff,Anticonvulsant CTBN Markov,3,3,208.98985862731934,222.546875,1.399694489981941,weak
ctbn_stiff,Anticonvulsant CTBN Markov,3,4,167.72198677062988,229.109375,1.7440882928652963,weak
ctbn_stiff,Anticonvulsant CTBN Markov,4,0,330.0292491912842,191.40625,0.8863516015612866,weak
ctbn_stiff,Anticonvulsant CTBN Markov,4,1,162.11390495300293,215.0625,1.804422351479142,weak
ctbn_stiff,Anticonvulsant CTBN Markov,4,2,173.42185974121094,229.953125,1.686765174928236,weak
ctbn_stiff,Anticonvulsant CTBN Markov,4,3,148.20623397827148,186.046875,1.9737493203265006,weak
ctbn_stiff,Anticonvulsant CTBN Markov,4,4,154.56891059875488,222.453125,1.8925018779625147,weak
